username,profile_url,followers,avg_views,max_views,posts,category
taylorswift,https://www.instagram.com/taylorswift/,273562840,15037095,21621366,708,生活日常
lalalalisa_m,https://www.instagram.com/lalalalisa_m/,106013143,9215811,11193890,1226,名人明星
zendaya,https://www.instagram.com/zendaya/,176628050,8795008,17683363,3511,名人明星
sooyaaa__,https://www.instagram.com/sooyaaa__/,80106305,4185636,4185636,1341,名人明星
roses_are_rosie,https://www.instagram.com/roses_are_rosie/,83205201,3283419,3283419,1216,名人明星
jennyhan,https://www.instagram.com/jennyhan/,3434710,2998354,6225507,1846,生活日常
arianagrande,https://www.instagram.com/arianagrande/,363286189,2793140,6469116,565,生活日常
cozycornerkai,https://www.instagram.com/cozycornerkai/,362678,1114301,8814404,649,家居生活
laurenwolfe,https://www.instagram.com/laurenwolfe/,547417,907519,5177249,951,生活日常
leejung_lee,https://www.instagram.com/leejung_lee/,2591072,805830,2283759,388,生活日常
hankimmel,https://www.instagram.com/hankimmel/,65641,666581,3388447,239,生活日常
f1,https://www.instagram.com/f1/,43501583,661479,1509987,33909,音乐娱乐
alysaxliu,https://www.instagram.com/alysaxliu/,8358652,633852,633852,192,生活日常
need4lspeed,https://www.instagram.com/need4lspeed/,2582105,618793,1662685,770,生活日常
kirstendodgen,https://www.instagram.com/kirstendodgen/,1614984,548242,2050040,397,生活日常
blkcosmeticsph,https://www.instagram.com/blkcosmeticsph/,504351,478397,707886,2992,美妆护肤
mijindonp,https://www.instagram.com/mijindonp/,60954,471178,4311148,839,生活日常
disneycruiseline,https://www.instagram.com/disneycruiseline/,2125482,441268,2364067,1596,音乐娱乐
mosseri,https://www.instagram.com/mosseri/,4018311,347761,1759387,1355,生活日常
operation_niki,https://www.instagram.com/operation_niki/,5321257,343268,2133614,743,生活日常
cams_florentino,https://www.instagram.com/cams_florentino/,79279,260006,1403184,266,生活日常
savpalacio,https://www.instagram.com/savpalacio/,462685,196928,1412506,842,生活日常
teresalaucar,https://www.instagram.com/teresalaucar/,1868260,187368,287723,2722,生活日常
rbonneynola,https://www.instagram.com/rbonneynola/,1169422,172196,1177954,1252,生活日常
rarebeauty,https://www.instagram.com/rarebeauty/,8643879,142210,387855,5048,美妆护肤
